text,intent
"yes, that is true for sure",positive_reply
i am happy you did that for me,positive_reply
thank you so very much,positive_reply
"nice, excellent!",positive_reply
thanks for helping me out today,positive_reply
yeah that's what i want,positive_reply
that's true,positive_reply
"great, thanks!",positive_reply
that seems true,positive_reply
"yep, that's right",positive_reply
i owe you one,positive_reply
"i really appreciate your help, thank you",positive_reply
"thanks, you've helped me",positive_reply
i appreciate that answer!,positive_reply
thanks again!,positive_reply
that is not false,positive_reply
true is my response,positive_reply
"yup, that's true",positive_reply
i would like to thank you,positive_reply
absolutely correct,positive_reply
that statement was correct,positive_reply
appreciated,positive_reply
thanks for the help,positive_reply
thanks for answering my question,positive_reply
i am thankful for the answer,positive_reply
that's a yes from me,positive_reply
you are so nice to think of me,positive_reply
you did a good job thank you,positive_reply
i appeciate it,positive_reply
thank you for the help,positive_reply
you are so thoughtful and i appreciate your gesture,positive_reply
thanks for helping me,positive_reply
thanks again,positive_reply
thank you!,positive_reply
your answer was good,positive_reply
the answer is yes,positive_reply
"yes, you got it",positive_reply
thanks so much ai,positive_reply
oh sweet thanks,positive_reply
that's a definite yes,positive_reply
good job with assisting me,positive_reply
you're the best!,positive_reply
yup,positive_reply
thanks for your cooperation,positive_reply
i vote yes,positive_reply
that's right,positive_reply
sure thing,positive_reply
thank you for answering that,positive_reply
you're right,positive_reply
i think it's true,positive_reply
yep,positive_reply
"good answer, thanks for providing it",positive_reply
i thank you,positive_reply
uh huh,positive_reply
thanks so much,positive_reply
it is definitely affirmative,positive_reply
"yes, that is true",positive_reply
thanks for trying,positive_reply
yes you are,positive_reply
i appreciate it,positive_reply
that is correct,positive_reply
yes that's correct,positive_reply
yes sir,positive_reply
"ai you have given me so much information, thank you",positive_reply
thanks for helping out,positive_reply
its a for sure true,positive_reply
i'm grateful to you,positive_reply
i wish you were here earlier,positive_reply
appreciate it,positive_reply
thanks please,positive_reply
thanks for your help!,positive_reply
my answer to your question is yes,positive_reply
correct,positive_reply
i'm grateful,positive_reply
thank you very much,positive_reply
definitely,positive_reply
"that'll work, good job!",positive_reply
that would be yes,positive_reply
"correct, that's true",positive_reply
that's definitely true,positive_reply
"yep, that's true",positive_reply
that would be true,positive_reply
"yes, that's accurate",positive_reply
"yes, that's correct",positive_reply
thanks for the info,positive_reply
confirm,positive_reply
thanks for the assist,positive_reply
thanks for your help,positive_reply
roger that,positive_reply
"yes, that is accurate",positive_reply
thank you for the answer,positive_reply
you are correct,positive_reply
why thank you,positive_reply
"you have been a big help, thank you so much",positive_reply
i'm grateful for the assistance,positive_reply
that checks out,positive_reply
of course,positive_reply
true,positive_reply
i believe that's true,positive_reply
yes that's it,positive_reply
thank you,positive_reply
you've been a big help,positive_reply
i appreciate the assistance,positive_reply
thanks a lot,positive_reply
"yes, this is true",positive_reply
i apprecaite the help from you,positive_reply
that's correct,positive_reply
your efforts don't go unnoticed,positive_reply
"yes, that's affirmative",positive_reply
i'm thankful,positive_reply
you got it,positive_reply
yeap,positive_reply
this is a true statement,positive_reply
"oh, thanks",positive_reply
thanks for that!,positive_reply
many thank,positive_reply
i agree,positive_reply
the answer to that is a resounding yes,positive_reply
i want to thank you for helping,positive_reply
uh-huh,positive_reply
youre a doll,positive_reply
"yes, that's confirmed",positive_reply
"ai is a helpful item to have in my home, thank you",positive_reply
your help is appreciated,positive_reply
thank you very much for the answer,positive_reply
yes that is right,positive_reply
"yes, that's it",positive_reply
thanks a lot for the answer,positive_reply
that is affirmative,positive_reply
thank you very much for the assistance,positive_reply
i will say yes as my response,positive_reply
merci beaucoup,positive_reply
appreciate the help,positive_reply
it's so much easier with you around,positive_reply
thank you for your time,positive_reply
that is a fact,positive_reply
your answer is appreciated,positive_reply
oh yes,positive_reply
thank you ever so much for that!,positive_reply
thank you a lot for that answer,positive_reply
that is true,positive_reply
i can confirm it is affirmative,positive_reply
your answer pleased me,positive_reply
the answer to that is affirmative,positive_reply
thanks for your response,positive_reply
exactly right,positive_reply
thanks that was really helpful,positive_reply
"yes, that is actually true",positive_reply
i am glad that you did that,positive_reply
i appreciate that,positive_reply
