text,entity
office hours,appointment_type
advising session,appointment_type
thesis discussion,appointment_type
project meeting,appointment_type
oral exam,appointment_type
lab session,appointment_type
tutoring session,appointment_type
check-up,appointment_type
grade review,appointment_type
dissertation defense,appointment_type
career counseling,appointment_type
financial aid consultation,appointment_type
one-on-one,appointment_type
research consultation,appointment_type
faculty meeting,appointment_type
dental cleaning,appointment_type
final project review,appointment_type
mentorship meeting,appointment_type
academic advising,appointment_type
course registration help,appointment_type
writing center appointment,appointment_type
study abroad advising,appointment_type
esame orale,appointment_type
performance review,appointment_type
capstone meeting,appointment_type
progress review,appointment_type
admissions interview,appointment_type
follow-up appointment,appointment_type
ricevimento studenti,appointment_type
IT support session,appointment_type
legal consultation,appointment_type
departmental meeting,appointment_type
scholarship interview,appointment_type
library research consultation,appointment_type
team meeting,appointment_type
haircut,appointment_type
discussione tesi,appointment_type
mental health counseling,appointment_type
consultation,appointment_type
letter of recommendation request,appointment_type
curriculum planning,appointment_type
group project session,appointment_type
sales demo,appointment_type
vaccination,appointment_type
pre-defense meeting,appointment_type
student orientation,appointment_type
colloquio di orientamento,appointment_type
lab safety training,appointment_type
client call,appointment_type
physical therapy session,appointment_type
research update,appointment_type
grant proposal meeting,appointment_type
seminar presentation,appointment_type
lezione privata,appointment_type
personal training session,appointment_type
Ph.D. defense,appointment_type
course planning,appointment_type
post-exam review,appointment_type
project kickoff,appointment_type
eye exam,appointment_type
internship interview,appointment_type
student advising,appointment_type
thesis proposal meeting,appointment_type
car service,appointment_type
academic integrity hearing,appointment_type
campus tour,appointment_type
portfolio review,appointment_type
job interview,appointment_type
blood test,appointment_type
workshop,appointment_type
financial advising,appointment_type
comprehensive exam,appointment_type
thesis committee meeting,appointment_type
alumni interview,appointment_type
vet appointment,appointment_type
study group meeting,appointment_type
research seminar,appointment_type
practicum supervision,appointment_type
brainstorming session,appointment_type
specialist visit,appointment_type
language exchange,appointment_type
peer tutoring,appointment_type
degree audit,appointment_type
qualifying exam,appointment_type
parent-teacher conference,appointment_type
dissertation proposal,appointment_type
lab demonstration,appointment_type
faculty candidate interview,appointment_type
quarterly review,appointment_type
x-ray,appointment_type
student government meeting,appointment_type
thesis defense rehearsal,appointment_type
guest lecture,appointment_type
massage therapy,appointment_type
course selection advising,appointment_type
fieldwork briefing,appointment_type
residence life meeting,appointment_type
strategy meeting,appointment_type
health screening,appointment_type
graduate school consultation,appointment_type
mock interview,appointment_type
research group meeting,appointment_type
academic probation meeting,appointment_type
vehicle inspection,appointment_type
curriculum committee meeting,appointment_type
internship check-in,appointment_type
peer advising,appointment_type
annual physical,appointment_type
dean's meeting,appointment_type
lab cleanup,appointment_type
club meeting,appointment_type
home repair estimate,appointment_type
student disciplinary hearing,appointment_type
presentation rehearsal,appointment_type
postdoctoral interview,appointment_type
1-on-1,appointment_type
therapy session,appointment_type
registration appointment,appointment_type
language proficiency test,appointment_type
honors thesis meeting,appointment_type
tax consultation,appointment_type
orientation session,appointment_type
equipment training,appointment_type
student feedback session,appointment_type
sabbatical leave meeting,appointment_type
client presentation,appointment_type
ultrasound,appointment_type
transfer credit evaluation,appointment_type
faculty review,appointment_type
research ethics review,appointment_type
driving lesson,appointment_type
tenure meeting,appointment_type
class registration,appointment_type
final presentation,appointment_type
pet checkup,appointment_type
department head meeting,appointment_type
code review,appointment_type
psychologist appointment,appointment_type
major declaration meeting,appointment_type
project update,appointment_type
makeup exam,appointment_type
immunization shot,appointment_type
placement test,appointment_type
sync-up,appointment_type
independent study meeting,appointment_type
lecture,appointment_type
allergy test,appointment_type
