text,entity
Professor Rossi,practitioner_name
Dr. Smith,practitioner_name
Bianchi,practitioner_name
Professor Emily Clark,practitioner_name
Esposito,practitioner_name
Mr. Jones,practitioner_name
Dott. Marco Conti,practitioner_name
Taylor,practitioner_name
Prof.ssa Gallo,practitioner_name
Dr. Williams,practitioner_name
Romano,practitioner_name
Ms. Davis,practitioner_name
Professor De Luca,practitioner_name
Dr. Wilson,practitioner_name
Colombo,practitioner_name
Ricci,practitioner_name
Prof. David Johnson,practitioner_name
Greco,practitioner_name
Mrs. Evans,practitioner_name
Dr. Giordano,practitioner_name
Brown,practitioner_name
Professor Marino,practitioner_name
Dott.ssa Anna Moretti,practitioner_name
Thomas,practitioner_name
Conti,practitioner_name
Prof. Garcia,practitioner_name
Dr. Laura Ferrari,practitioner_name
Miller,practitioner_name
Russo,practitioner_name
Mr. Rodriguez,practitioner_name
Professor Barbieri,practitioner_name
Dr. Martinez,practitioner_name
Lombardi,practitioner_name
Prof. Müller,practitioner_name
Dott. Luca Morelli,practitioner_name
Harris,practitioner_name
Galli,practitioner_name
Dr. Angela White,practitioner_name
Professor Fontana,practitioner_name
Martin,practitioner_name
Costa,practitioner_name
Prof. Dubois,practitioner_name
Dr. Santoro,practitioner_name
Thompson,practitioner_name
Rinaldi,practitioner_name
Dott.ssa Elena Longo,practitioner_name
Moore,practitioner_name
Professor Bruno,practitioner_name
Lee,practitioner_name
Rizzo,practitioner_name
Dr. Sofia Colombo,practitioner_name
Walker,practitioner_name
Prof. Martini,practitioner_name
Hall,practitioner_name
Gatti,practitioner_name
Ms. Allen,practitioner_name
Professor Mariani,practitioner_name
Dr. King,practitioner_name
Serra,practitioner_name
Wright,practitioner_name
Dott. Paolo Farina,practitioner_name
Young,practitioner_name
Conte,practitioner_name
Prof. Scott,practitioner_name
Dr. Caterina Gentile,practitioner_name
Green,practitioner_name
Leone,practitioner_name
Mr. Adams,practitioner_name
Professor Vitali,practitioner_name
Baker,practitioner_name
Dr. Ferrara,practitioner_name
Hill,practitioner_name
Dott. Francesco Testa,practitioner_name
Nelson,practitioner_name
Pellegrini,practitioner_name
Prof. Campbell,practitioner_name
Coppola,practitioner_name
Dr. Carter,practitioner_name
Amato,practitioner_name
Ms. Mitchell,practitioner_name
Professor D'Amico,practitioner_name
Roberts,practitioner_name
Dott.ssa Valentina Bellini,practitioner_name
Turner,practitioner_name
Parisi,practitioner_name
Dr. Phillips,practitioner_name
Villa,practitioner_name
Prof. Parker,practitioner_name
Caruso,practitioner_name
Evans,practitioner_name
Professor Bernardi,practitioner_name
Dr. Edwards,practitioner_name
Sanna,practitioner_name
Collins,practitioner_name
Dott. Simone Marchetti,practitioner_name
Stewart,practitioner_name
Rossetti,practitioner_name
Prof. Morris,practitioner_name
Grassi,practitioner_name
Dr. Peterson,practitioner_name
De Angelis,practitioner_name
Mr. Rogers,practitioner_name
Professor Sala,practitioner_name
Cook,practitioner_name
Dr. Ferri,practitioner_name
Morgan,practitioner_name
Dott. Matteo Palmieri,practitioner_name
Bell,practitioner_name
Basile,practitioner_name
Prof. Murphy,practitioner_name
Pagano,practitioner_name
Dr. Bailey,practitioner_name
Longo,practitioner_name
Ms. Cooper,practitioner_name
Professor Cattaneo,practitioner_name
Richardson,practitioner_name
Dr. Davide Monti,practitioner_name
Cox,practitioner_name
Santini,practitioner_name
Prof. Howard,practitioner_name
Messina,practitioner_name
Dr. Ward,practitioner_name
Dott.ssa Chiara Negri,practitioner_name
Torres,practitioner_name
Professor Pellegrino,practitioner_name
Mr. Peterson,practitioner_name
Piras,practitioner_name
Gray,practitioner_name
Dr. Giovanni Galli,practitioner_name
James,practitioner_name
Donati,practitioner_name
Prof. Watson,practitioner_name
Fiore,practitioner_name
Dr. Brooks,practitioner_name
Mancini,practitioner_name
Ms. Kelly,practitioner_name
Professor Sartori,practitioner_name
Sanders,practitioner_name
Dr. Stefano Marchese,practitioner_name
Price,practitioner_name
Marchetti,practitioner_name
Prof. Bennett,practitioner_name
Testa,practitioner_name
Dr. Wood,practitioner_name
D'Angelo,practitioner_name
Mr. Barnes,practitioner_name
Professor Schmidt,practitioner_name
Dr. Lefevre,practitioner_name
Nowak,practitioner_name
