text,entity
#079183,appointment_id
#310528,appointment_id
#334313,appointment_id
#600778,appointment_id
#531844,appointment_id
#239161,appointment_id
#975878,appointment_id
#684309,appointment_id
#974214,appointment_id
#535330,appointment_id
#861346,appointment_id
#437573,appointment_id
#680889,appointment_id
#877240,appointment_id
#676289,appointment_id
#255297,appointment_id
#192768,appointment_id
#230130,appointment_id
#795063,appointment_id
#106072,appointment_id
#304272,appointment_id
#564268,appointment_id
#904815,appointment_id
#947726,appointment_id
#630761,appointment_id
#798223,appointment_id
#261071,appointment_id
#513514,appointment_id
#536444,appointment_id
#568999,appointment_id
#184032,appointment_id
#449703,appointment_id
#623599,appointment_id
#642584,appointment_id
#575048,appointment_id
#642083,appointment_id
#586330,appointment_id
#505823,appointment_id
#132841,appointment_id
#514453,appointment_id
#222384,appointment_id
#682163,appointment_id
#717513,appointment_id
#562717,appointment_id
#641930,appointment_id
#555446,appointment_id
#050317,appointment_id
#470394,appointment_id
#449094,appointment_id
#085342,appointment_id
#081504,appointment_id
#988746,appointment_id
#990686,appointment_id
#420645,appointment_id
#634746,appointment_id
#281149,appointment_id
#554324,appointment_id
#241353,appointment_id
#915298,appointment_id
#460528,appointment_id
#543516,appointment_id
#758129,appointment_id
#613830,appointment_id
#003644,appointment_id
#955118,appointment_id
#692463,appointment_id
#163616,appointment_id
#901602,appointment_id
#040952,appointment_id
#684466,appointment_id
#361254,appointment_id
#519932,appointment_id
#493046,appointment_id
#204345,appointment_id
#928021,appointment_id
#387449,appointment_id
#894207,appointment_id
#040937,appointment_id
#079262,appointment_id
#660065,appointment_id
#781883,appointment_id
#569400,appointment_id
#077573,appointment_id
#356641,appointment_id
#015443,appointment_id
#186683,appointment_id
#962592,appointment_id
#971878,appointment_id
#623681,appointment_id
#077272,appointment_id
#729731,appointment_id
#693909,appointment_id
#587130,appointment_id
#709588,appointment_id
#150062,appointment_id
#886239,appointment_id
#180567,appointment_id
#117656,appointment_id
#934189,appointment_id
#439966,appointment_id
#746934,appointment_id
#420831,appointment_id
#124270,appointment_id
#365560,appointment_id
#255888,appointment_id
#336410,appointment_id
#822368,appointment_id
#881822,appointment_id
#017187,appointment_id
#339055,appointment_id
#682160,appointment_id
#843183,appointment_id
#976105,appointment_id
#036469,appointment_id
#355543,appointment_id
#169618,appointment_id
#761640,appointment_id
#706539,appointment_id
#004766,appointment_id
#993216,appointment_id
#327330,appointment_id
#675180,appointment_id
#538465,appointment_id
#158644,appointment_id
#676483,appointment_id
#000317,appointment_id
#842972,appointment_id
#192560,appointment_id
#124142,appointment_id
#795492,appointment_id
#984794,appointment_id
#113852,appointment_id
#737947,appointment_id
#314123,appointment_id
#222382,appointment_id
#821730,appointment_id
#797665,appointment_id
#141591,appointment_id
#564270,appointment_id
#018673,appointment_id
#556800,appointment_id
#419544,appointment_id
#839944,appointment_id
#426171,appointment_id
#107210,appointment_id
#103401,appointment_id
#286344,appointment_id
#712229,appointment_id
#353753,appointment_id
#156794,appointment_id
