text,intent
is va treatment free for veterans,oos
do ducks sleep,oos
what's the dominant minor for the key of bflat,oos
what does water taste like,oos
find instructions on how to play taboo,oos
get me the rates of hacking susceptibility for household in my area,oos
how many calories does jumping up and down burn,oos
what's the most effective bug repellant,oos
please explain the catch rule to me,oos
what is the cheapest new car for this year,oos
find me a graphic tutorial on writing longhand,oos
tell me the steps as to how to begin a career as a journalist,oos
how do i change my billing address,oos
how many push-ups do i need to do to get ripped,oos
does denim go with anything,oos
read the phone number for mom in my phone contacts,oos
show me the channel guide,oos
find me a book on motivational speaking from amazon,oos
please print out copies of my resume,oos
which houses do not have automatic spot lights in front of their garage,oos
get me articles on earthquake preparedness,oos
what person is the heaviest ever recorded,oos
when's the next mardi gras going to be,oos
restart my newspaper delivery for monday,oos
start a portfolio on venture capital funding for me to look over,oos
what time did my daughter get home from her date,oos
compile a list of articles pertaining to venture capital funding for me,oos
"what's going on in the world today, anything major",oos
how much money would my house sell for,oos
what year was jane austen born,oos
how do i get venture capital for my app,oos
i'd like to find some curtains that look good in this room,oos
what is the breath to compression ratio for cpr,oos
how do i start my own marketing firm,oos
can you give me the standard tuning notes,oos
does hypnosis work to break bad habits,oos
what cryptocurrency gained the most in 2018,oos
are there any messages,oos
create a pamphlet on albert einsteins childhood,oos
show me how to contact a paranormal spirit,oos
what is the most rented movie this week,oos
when will the daffodils bloom this year,oos
tell me more about bill gates,oos
what show am i watching,oos
find a credit counseling service for me on the web,oos
how many elements are on the periodic table,oos
what movie is it that says today is a good day to die,oos
how much time do i have left on my 0% apr,oos
what do geese eat,oos
what will it take to achieve world peace,oos
show me what one should do to get ahead in a tech corporation,oos
why do we dream,oos
"can you really time your compressions to queen's ""another one bites the dust""",oos
how many acres do you need to buy a horse,oos
how much does a nintendo switch cost,oos
can you mark this note as important,oos
which nations are not democratic,oos
what is a good movie to go see in theaters for a family with young kids,oos
how do i get rid of blocked nose at home,oos
how to plan for weddings,oos
how many harry potter books are there,oos
who is jane goodall,oos
what is a semitic language,oos
what's the roi doing arbitrage with ebay,oos
can you tell me who sells dixie paper plates,oos
how does a optical mouse work,oos
is it difficult to be successful on wall street,oos
what are black holes,oos
can i deposit a check,oos
"show me laptops for sale that are under $2,000",oos
how hard is it to close a bank account at wells fargo,oos
where are classes taught near me for c++,oos
which element on the periodic table is k,oos
are any earning reports due,oos
how do you fix a leaking sink,oos
can i use direct deposit for my tax refund,oos
sign me up for the slack employment forum,oos
please list my real estate for sale,oos
what's the blue book value of my car,oos
which movie is it that someone says perfectly balanced as all things should be,oos
what is the cashback rate for my credit card,oos
write the next chapter of my biography and let me know when you have finished it,oos
find schematics for ikea desk assembly,oos
who is the best architecture,oos
when was the theory of evolution first considered,oos
what's the most difficult yoga pose to perform,oos
a the bike looks very nice,oos
answer the phone,oos
create a for-while loop that continues 10 times,oos
what stores are in the local mall,oos
"how many people have held the role of county attorney bearing the family name ""dixon""",oos
who has the best record in the nba,oos
when was the last worker's strike in amsterdam,oos
can you locate the television remote,oos
search up the cast in the walking dead,oos
what is the best reviewed laptop available on the market,oos
can a robot really travel back in time,oos
how can i use make up to cover a cut on my cheek,oos
review chapter 6 with my son and verify his math homework answers,oos
does iron maiden have any new releases,oos
are tattoos safe to get,oos
what's my horoscope today,oos
how much candy have i consumed this week,oos
how can i keep my windshield from fogging up in winter,oos
what big news happened over the weekend,oos
how do i add someone to my account,oos
do the romans still use the colosseum for anything today,oos
would it be legal to have battles to the death in a homemade colosseum,oos
how does the etheric body operate,oos
"according to my fitness tracker, how many push ups have i done today",oos
what time did i put in my first load of laundry,oos
what's the best time of year to plant a tree,oos
where is the colosseum,oos
is the pnc bank open,oos
find a couple's therapist who can help me and my wife,oos
is autism a genetic disease,oos
can you check my voicemail,oos
give me an energy usage breakdown for march,oos
how many miles does my car currently have,oos
what movie does it's just a flesh wound come from,oos
find out how many latin scholars there are at the university of chicago,oos
who was the first person to discover cells,oos
which stocks have lost the least today,oos
where does jelly come from,oos
what is the nature of the big bang theory,oos
what is albert einstein famous for,oos
find articles on essay writing for beginners,oos
vacuum out the car,oos
how the bus moves,oos
are people with a mental illness eligible for disability,oos
make a list of what materials have been used for spacesuits,oos
tell me about personal finance,oos
who was the first capcom character,oos
king of acid,oos
how much is this years model of my car cost,oos
when will george rr martin publish the next game of thrones book,oos
find someone local who mows lawns,oos
give me a list of the top 10 tennis players in the world,oos
what are the best personal finance practices,oos
when will microsoft drop support for windows 7,oos
"i need to find work, help me connect to a local business through linkedin",oos
save my text on my laptop hard drive,oos
can you tell me how to solve simple algebraic equations with one variable,oos
when do classes start,oos
is there a fee for cancelling a flight i've booked,oos
find me articles on appropriate wedding attire,oos
what articles are written at the cnn site about the women's march,oos
explain how small talk helps bind groups together,oos
how much money does radiohead earn a year,oos
show me how many community centers are located within 5 miles of my location,oos
