intent,user_utterance,origin,new_intent,label
greeting,what's up,original,greet,4
yes,it's true yes,parrot,book,1
yes,it's certainly positive,parrot,book,1
goodbye,i'm leaving,parrot,bye,2
how_busy,what's the crowd like in olive garden at 7pm?,parrot,avail,0
greeting,whats new,lambada,greet,4
thank_you,thanks for that answer,original,bye,2
goodbye,goodbye bye,parrot,bye,2
yes,you got it,parrot,book,1
greeting,why hello?,original,greet,4
yes,i know,parrot,book,1
date,in seven days?,parrot,avail,0
calendar_update,i need trip to the zoo on the calendar for june 4,original,resched,5
reminder_update,remind me to do laundry,parrot,resched,5
greeting,how's ai doing?,parrot,greet,4
no,not that one,original,cancel,3
greeting,how you feel?,parrot,greet,4
thank_you,"nice, excellent!",original,bye,2
no,it's very false,parrot,cancel,3
yes,definitely,original,book,1
thank_you,many thanks,original,bye,2
goodbye,good call,parrot,bye,2
how_busy,if i want to sit at macadamias how long do i have to wait,parrot,avail,0
yes,of course,original,book,1
reminder_update,make a reminder for me to send flowers to my mom for mother's day,parrot,resched,5
thank_you,many thanks,original,bye,2
no,certainly false,parrot,cancel,3
goodbye,no problem goodbye,parrot,bye,2
greeting,hey there!,original,greet,4
yes,"yes, please",parrot,book,1
greeting,whats up?,parrot,greet,4
goodbye,sayonara,original,bye,2
yes,"yes, that is factual",original,book,1
greeting,hey,original,greet,4
goodbye,bye bye!,original,bye,2
how_busy,how busy will the cheesecake factory be at 8 pm,parrot,avail,0
cancel_reservation,get the salad cancelled,lambada,cancel,3
thank_you,thanks for that information,lambada,bye,2
thank_you,thank you for that!,lambada,bye,2
meeting_schedule,will my meetings be between noon and one?,parrot,avail,0
yes,yeap,original,book,1
greeting,hiya,original,greet,4
greeting,hiya!,original,greet,4
goodbye,bye now,original,bye,2
goodbye,i liked talking to you,parrot,bye,2
thank_you,i'm so very grateful,parrot,bye,2
no,but it's wrong,parrot,cancel,3
greeting,ahoy,lambada,greet,4
goodbye,have fun?,lambada,bye,2
meeting_schedule,how many meetings am i supposed to have for today,parrot,avail,0
yes,it's true yes,parrot,book,1
reminder_update,please create a reminder,parrot,resched,5
schedule_meeting,plan a meeting for me,parrot,book,1
goodbye,bye now,original,bye,2
date,what will be the date of 100 days?,parrot,avail,0
goodbye,good talk,parrot,bye,2
no,i disagree,parrot,cancel,3
no,is that a lie?,parrot,cancel,3
thank_you,the best,parrot,bye,2
goodbye,i’m leaving-goodbye!,original,bye,2
goodbye,adios,original,bye,2
date,what day of the week?,parrot,avail,0
yes,my answer is yes,parrot,book,1
no,it is false,original,cancel,3
greeting,how's it hanging,original,greet,4
yes,that's the truth,original,book,1
yes,correct,original,book,1
goodbye,goodbye,original,bye,2
cancel_reservation,i have to cancel my booking,parrot,cancel,3
date,date tomorrow?,parrot,avail,0
greeting,hi how is everything,original,greet,4
goodbye,later goodbye,parrot,bye,2
how_busy,what is the current seating time at this restaurant?,lambada,avail,0
no,it's a negative,parrot,cancel,3
no,certainly not,original,cancel,3
greeting,salutations,parrot,greet,4
calendar,do you have anything planned for march 1?,parrot,avail,0
yes,yay,lambada,book,1
date,what today?,parrot,avail,0
calendar,can you list my calendar?,parrot,avail,0
yes,yeah,original,book,1
yes,okay,original,book,1
goodbye,see you soon,original,bye,2
how_busy,how busy is jiro at 12?,parrot,avail,0
goodbye,bye,original,bye,2
thank_you,and i'm grateful,parrot,bye,2
yes,i just said it,parrot,book,1
no,negative,original,cancel,3
reminder_update,set a reminder to check mail,parrot,resched,5
yes,yup,original,book,1
calendar,what's my schedule for april 30?,parrot,avail,0
no,false sure,parrot,cancel,3
goodbye,sayonara,original,bye,2
goodbye,thanks for the talk,lambada,bye,2
how_busy,how long will the wait be for a table at olive garden,lambada,avail,0
yes,"yes, that's correct",original,book,1
how_busy,do you think the red lobster is busy at noon?,parrot,avail,0
thank_you,again thanks,parrot,bye,2
yes,ya,original,book,1
goodbye,farewell!,original,bye,2
date,what's today?,parrot,avail,0
date,wednesday friday or saturday?,parrot,avail,0
yes,absolutely!,original,book,1
how_busy,the average busy hour for chili is around 5,parrot,avail,0
no,naw,original,cancel,3
goodbye,goodnight,original,bye,2
yes,uh-huh,original,book,1
calendar_update,add this to the calendar tomorrow?,parrot,resched,5
thank_you,gracias,original,bye,2
no,not that,original,cancel,3
calendar_update,i need to edit this event out of my calendar,original,resched,5
date,i need a date,parrot,avail,0
greeting,what's happened?,parrot,greet,4
calendar,check my calendar for march 17th,lambada,avail,0
yes,sure,original,book,1
yes,accepted,original,book,1
goodbye,goodbye to yours,parrot,bye,2
yes,roger that,original,book,1
no,erroneous,parrot,cancel,3
no,nothing,parrot,cancel,3
yes,it's positive,parrot,book,1
goodbye,good-bye,parrot,bye,2
greeting,salutations,parrot,greet,4
no,it's negative,parrot,cancel,3
greeting,how it goes?,parrot,greet,4
how_busy,how long do we have to wait before being seated at the cheese cake factory,lambada,avail,0
yes,confirmed,original,book,1
greeting,how's my family going?,parrot,greet,4
greeting,how things go for you?,parrot,greet,4
date,today?,parrot,avail,0
yes,affirmative,original,book,1
greeting,hey,original,greet,4
yes,it seems true,parrot,book,1
no,negative definitely,parrot,cancel,3
schedule_meeting,tell me how i can schedule a meeting,parrot,book,1
goodbye,buhbye,original,bye,2
yes,say yes,lambada,book,1
date,today?,parrot,avail,0
yes,yeah,original,book,1
yes,agreed,original,book,1
thank_you,nice,parrot,bye,2
no,that's inaccurate,original,cancel,3
no,nope not it,original,cancel,3
reminder_update,remember to use the bathroom,parrot,resched,5
goodbye,i’m leaving-goodbye!,original,bye,2
calendar_update,add a meeting with carla to my schedule for july 4,parrot,resched,5
greeting,whats up?,parrot,greet,4
how_busy,how long will it take to get a table in moroni's,parrot,avail,0
goodbye,fairwell?,parrot,bye,2
date,let me know what's the day?,parrot,avail,0
yes,so it works,parrot,book,1
thank_you,"nice, excellent!",original,bye,2
greeting,hello there,original,greet,4
meeting_schedule,will we have meetings today?,parrot,avail,0
thank_you,okay thank you,parrot,bye,2
greeting,aho,parrot,greet,4
yes,absolutely!,original,book,1
thank_you,thanks for doing what you do,lambada,bye,2
no,naw,original,cancel,3
no,but it's not factual,parrot,cancel,3
no,not right?,parrot,cancel,3
thank_you,gracias,original,bye,2
yes,ok,original,book,1
yes,definitely confirmed,parrot,book,1
date,please date,parrot,avail,0
calendar,did i set a date on my calendar for the doctor's appointment?,parrot,avail,0
goodbye,adios,original,bye,2
goodbye,i'm going,parrot,bye,2
no,it's a negation,parrot,cancel,3
goodbye,adios,original,bye,2
thank_you,again thanks,parrot,bye,2
no,negative,original,cancel,3
thank_you,thank you?,parrot,bye,2
meeting_schedule,when is my meeting with steve scheduled for?,lambada,avail,0
thank_you,i'm grateful,original,bye,2
no,nope,original,cancel,3
thank_you,much obliged,original,bye,2
yes,very true,original,book,1
yes,"yes, please",parrot,book,1
greeting,how is my day,original,greet,4
no,no,lambada,cancel,3
goodbye,adios,original,bye,2
goodbye,fairwell?,parrot,bye,2
thank_you,i'm so grateful for your help,lambada,bye,2
no,the wrong answer,parrot,cancel,3
goodbye,goodbye soon,lambada,bye,2
reminder_update,remind me to put the garbage in a can,parrot,resched,5
yes,is true,parrot,book,1
no,the answer to that question is false,lambada,cancel,3
thank_you,"thanks, that's helpful",original,bye,2
greeting,hey there,original,greet,4
calendar,display my calendar,lambada,avail,0
yes,yeah,original,book,1
goodbye,as regards,parrot,bye,2
yes,that's right,original,book,1
greeting,good day,original,greet,4
greeting,hola,original,greet,4
yes,right,parrot,book,1
greeting,hiya,original,greet,4
how_busy,how long will i have to wait to be seated at the caprese steak house,lambada,avail,0
thank_you,thankyou,parrot,bye,2
yes,it's indeed true,original,book,1
how_busy,how busy is jimmy's at 5 pm,lambada,avail,0
greeting,well hello,original,greet,4
meeting_schedule,meeting today,parrot,avail,0
calendar,what's on my calendar for january next year?,parrot,avail,0
yes,correct,original,book,1
yes,confirmed,original,book,1
greeting,let me know how you're doing,parrot,greet,4
goodbye,and then goodbye,parrot,bye,2
greeting,are you okay??,parrot,greet,4
thank_you,appreciated,original,bye,2
greeting,salutation,parrot,greet,4
yes,absolutely!,original,book,1
greeting,yo,original,greet,4
greeting,heller,original,greet,4
calendar,read me my schedule for march 3,lambada,avail,0
calendar,i need my calendar,parrot,avail,0
no,negating,parrot,cancel,3
no,no,lambada,cancel,3
goodbye,adios,original,bye,2
meeting_schedule,time of meeting?,parrot,avail,0
goodbye,great talk,lambada,bye,2
no,negative,original,cancel,3
thank_you,you've tried,parrot,bye,2
how_busy,please let me know if there's a wait in this restaurant right now,parrot,avail,0
yes,TRUE,lambada,book,1
reminder_update,can you remind me later,parrot,resched,5
greeting,how's everything,original,greet,4
no,but it's wrong,parrot,cancel,3
how_busy,how long is the wait time at eat at olive garden,lambada,avail,0
yes,all right,original,book,1
yes,that's a fact,lambada,book,1
greeting,hey bs,lambada,greet,4
greeting,how's everything?,parrot,greet,4
goodbye,later!,original,bye,2
reminder_update,i'd like to remind you of my holiday,parrot,resched,5
goodbye,bye bye!,original,bye,2
no,nay,original,cancel,3
calendar,what's my schedule for april 1st?,parrot,avail,0
greeting,ahoy hoy,original,greet,4
goodbye,good call,parrot,bye,2
goodbye,see ya,lambada,bye,2
yes,positive,parrot,book,1
calendar,check my calendar for the 19th of march,lambada,avail,0
cancel_reservation,i want to cancel the reservation for mercury at the ritz,original,cancel,3
yes,please let's do this,parrot,book,1
yes,accepted,original,book,1
no,it's false,parrot,cancel,3
no,negating,parrot,cancel,3
how_busy,how long can i wait in a restaurant?,parrot,avail,0
no,that's definitely false,original,cancel,3
yes,TRUE,lambada,book,1
meeting_schedule,do i have meetings from 1 to 4 today?,original,avail,0
how_busy,how busy is cheesecake factory at 7:30,lambada,avail,0
no,"no, that's wrong",original,cancel,3
greeting,and how're you doing,parrot,greet,4
greeting,hola,original,greet,4
thank_you,thanks for that!,original,bye,2
greeting,heller,original,greet,4
goodbye,sayonara,original,bye,2
greeting,good day,original,greet,4
yes,huh,parrot,book,1
greeting,how you are,original,greet,4
yes,ya,original,book,1
calendar,let me know what's on march 21,parrot,avail,0
cancel_reservation,call my reservation canceled,lambada,cancel,3
meeting_schedule,wanna meet with roger?,parrot,avail,0
yes,obviously,parrot,book,1
thank_you,nice,parrot,bye,2
calendar_update,a doctor appointment on friday,parrot,resched,5
how_busy,how long will i have to wait for a table in the cheese cake factory?,parrot,avail,0
yes,that's absolutely true,parrot,book,1
goodbye,ai goodbye,original,bye,2
no,not right?,parrot,cancel,3
yes,yay,lambada,book,1
greeting,what's happening to you?,parrot,greet,4
goodbye,see ya later,original,bye,2
greeting,heller,original,greet,4
no,negating,parrot,cancel,3
yes,ok,original,book,1
goodbye,tootles?,parrot,bye,2
no,that's negative,parrot,cancel,3
how_busy,what time does the oklahoma county farmer's market have a long waiting period?,parrot,avail,0
no,certainly false,parrot,cancel,3
greeting,"hey, what's up",original,greet,4
how_busy,can you tell me what the crowd is in this restaurant?,parrot,avail,0
no,no that's a lie,parrot,cancel,3
goodbye,goodbye later,parrot,bye,2
greeting,hola,original,greet,4
goodbye,it's time for goodbye,parrot,bye,2
how_busy,are chicken dinners busy?,lambada,avail,0
calendar,bowling on my calendar?,parrot,avail,0
cancel_reservation,remove my reservation for dinner,lambada,cancel,3
greeting,how's idy?,parrot,greet,4
greeting,good day,original,greet,4
goodbye,goodbye later,parrot,bye,2
thank_you,okay thank you,parrot,bye,2
thank_you,so much easier when you're around,parrot,bye,2
meeting_schedule,wanna meet roger?,parrot,avail,0
greeting,how's it hanging,original,greet,4
goodbye,goodbye!,original,bye,2
greeting,whats up?,parrot,greet,4
no,that's erroneous,parrot,cancel,3
goodbye,goodbye helpful ai devices,parrot,bye,2
calendar,have i scheduled anything for march 2nd?,parrot,avail,0
goodbye,good bye,original,bye,2
how_busy,how long is the wait if i want to be at the tamara steakhouse,parrot,avail,0
greeting,whats up with you,original,greet,4
date,today?,parrot,avail,0
how_busy,how long will it take to get a table at the barbecue?,parrot,avail,0
greeting,and how's it going,parrot,greet,4
no,naw,parrot,cancel,3
yes,affirmitive,original,book,1
yes,right,parrot,book,1
no,no way,original,cancel,3
calendar,what's on the 2nd march?,parrot,avail,0
yes,accept,parrot,book,1
yes,i know,parrot,book,1
no,that's a negative,original,cancel,3
yes,yup,original,book,1
greeting,aho,parrot,greet,4
goodbye,next time we'll talk,parrot,bye,2
goodbye,later,original,bye,2
greeting,how are things going?,parrot,greet,4
goodbye,farewell,original,bye,2
no,is it a lie?,parrot,cancel,3
no,is it a lie,parrot,cancel,3
no,i prefer not to do it,parrot,cancel,3
goodbye,goodbye soon,lambada,bye,2
greeting,hey,original,greet,4
thank_you,thank you for my reply,parrot,bye,2
thank_you,thankyou,parrot,bye,2
meeting_schedule,check the calendar today for meetings,parrot,avail,0
how_busy,list the wait times at chipotle grills?,parrot,avail,0
no,no way!,original,cancel,3
goodbye,good conversation,parrot,bye,2
date,list the next week?,parrot,avail,0
yes,positive,original,book,1
yes,i agree,original,book,1
greeting,whats up?,parrot,greet,4
yes,yay,lambada,book,1
goodbye,"thanks, bye",original,bye,2
reminder_update,remember to clean the garage this week,parrot,resched,5
goodbye,i'm going,parrot,bye,2
goodbye,you're done,parrot,bye,2
yes,yeah,original,book,1
thank_you,i am thankful,lambada,bye,2
how_busy,does the wait at olive garden have to be long?,lambada,avail,0
yes,accepted,original,book,1
yes,agreed,original,book,1
goodbye,regards,original,bye,2
no,no?,parrot,cancel,3
greeting,hi how're things going,lambada,greet,4
thank_you,thanks again!,original,bye,2
goodbye,i'm going,parrot,bye,2
greeting,what's happening,original,greet,4
no,nay,original,cancel,3
goodbye,greetings,parrot,bye,2
goodbye,great talk,lambada,bye,2
goodbye,adios,original,bye,2
yes,i know,parrot,book,1
date,is today the date?,lambada,avail,0
calendar,tell me what's on my calendar for march 20?,parrot,avail,0
reminder_update,keep checking the steak,parrot,resched,5
reminder_update,set a reminder to remind me to check when my car payment is,original,resched,5
greeting,how've you been,original,greet,4
how_busy,how busy will the olive garden be at 6pm?,parrot,avail,0
yes,just right,parrot,book,1
meeting_schedule,meeting today,parrot,avail,0
goodbye,im leaving,parrot,bye,2
yes,accept,parrot,book,1
thank_you,i want to thank you for your time,parrot,bye,2
goodbye,bye bye,lambada,bye,2
goodbye,good call,parrot,bye,2
reminder_update,remind me to check my oven,parrot,resched,5
goodbye,a pleasure to speak with you as always,parrot,bye,2
no,negation,parrot,cancel,3
greeting,how is my day,original,greet,4
no,is it a lie?,parrot,cancel,3
greeting,hola,original,greet,4
meeting_schedule,meeting today,parrot,avail,0
yes,"yeah, that's right",original,book,1
calendar_update,get rid of the gym appointment on april 23,parrot,resched,5
date,in 10 days?,parrot,avail,0
yes,TRUE,lambada,book,1
greeting,hey,original,greet,4
no,no good,original,cancel,3
how_busy,is there a waiting time?,parrot,avail,0
goodbye,wonderful conversation,lambada,bye,2
goodbye,goodbye ai,parrot,bye,2
no,negation,parrot,cancel,3
thank_you,nice,parrot,bye,2
schedule_meeting,please schedule a meeting,parrot,book,1
cancel_reservation,shut down the dinner reservation,parrot,cancel,3
yes,yeap,original,book,1
