text,intent
"how are you doing, ai",greeting
tell me how you are doing,greeting
whats up,greeting
"hi, how are you today",greeting
hey how's it going,greeting
hey how's life,greeting
is everything going okay,greeting
hiya!,greeting
"hey, how are you",greeting
"hello, how's your day",greeting
hi how is everything,greeting
good to see you,greeting
hey what's up,greeting
"hey there, how are you today",greeting
"hello, friend",greeting
ai how are you doing today,greeting
"hello, how are you doing",greeting
hows are ya,greeting
it's nice to see you,greeting
will you tell me how the ai is doing,greeting
hi! are you doing okay,greeting
hello,greeting
how are things,greeting
are you doing well,greeting
how is everything going,greeting
what are you feeling today,greeting
is everything ok today,greeting
"hi, how are you",greeting
salutations!,greeting
hi there alexa,greeting
how have you been doing,greeting
hello there,greeting
tell me how you've been,greeting
ahoy hoy,greeting
how have you been,greeting
"hello, are you doing alright",greeting
i need to know how you are doing today,greeting
how's everything,greeting
what's up with you,greeting
it's good to see you,greeting
hey what's up,greeting
how're you doing,greeting
"hi there, how are you doing",greeting
how are things with you,greeting
are you okay,greeting
hi ai,greeting
how's ife treating you,greeting
how are you,greeting
whats up with you,greeting
well hello,greeting
how are things treating you,greeting
hello how's it going,greeting
how you are,greeting
so how is everything,greeting
are you feeling okay,greeting
"why, hello bandit",greeting
"hello, how are things",greeting
i'd like to know how you are doing,greeting
is everything ok with you,greeting
how is it going,greeting
"hello, how are you",greeting
"hello, anyone there",greeting
how are things going for you,greeting
how ya been,greeting
hola!,greeting
are you well,greeting
hey there!,greeting
how is my ai doing,greeting
how are things for you,greeting
greetings to you,greeting
"hi, ai",greeting
"how are you doing today, ai",greeting
bonjour,greeting
how is the ai doing,greeting
how is life treating you,greeting
how've you been,greeting
"ai, how are you feeling",greeting
hola,greeting
how's it going with you,greeting
i want to know how you are doing,greeting
heller,greeting
have you been good,greeting
heyo,greeting
what's happening,greeting
"hello there, good morning",greeting
"ai, how are you doing",greeting
what do you feel like doing,greeting
hey,greeting
"howdy, what's new",greeting
good evening,greeting
well hi there,greeting
"wake up, ai",greeting
"hello, how is it going",greeting
"hello, what's up",greeting
"hey, how's it going",greeting
how are you this day,greeting
hey hey!,greeting
are you okay right now,greeting
"hey, ai",greeting
why hello,greeting
hi there,greeting
ai how are you doing on this fine day,greeting
"hey, what's new",greeting
how is everything going for you,greeting
are things going well for you,greeting
how've you been feeling,greeting
how are you this fine day,greeting
are you doing ok,greeting
how goes it,greeting
how are things going,greeting
tell me how are you,greeting
how do you feel,greeting
can you tell me how you're doing today,greeting
what's up,greeting
"hello, ai",greeting
how is everything with you,greeting
hi what's up,greeting
would you tell me how the ai is doing,greeting
how is it going my friend,greeting
are you doing okay,greeting
"hey, what's up",greeting
let me know how you are doing,greeting
how is your day,greeting
how's it going right now,greeting
are you good,greeting
just wanted to say hi,greeting
how are you today,greeting
"good morning, ai",greeting
what's going on,greeting
how's life,greeting
it is good to see you,greeting
hello siri,greeting
hey there,greeting
yo,greeting
hi how are you,greeting
hello there!,greeting
good day,greeting
hey there fellow,greeting
"hi there, how are things",greeting
hello there ai,greeting
hi,greeting
how's it hanging,greeting
aloha,greeting
wassup,greeting
hey how's it hanging,greeting
how ya doin,greeting
are you doing alright,greeting
"yo, hows it going",greeting
hiya,greeting
how are you doing,greeting
